City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port Hedland,90,AU,10/29/2020,93,59.7,30.79,45,4.47
1,New Norfolk,20,AU,10/29/2020,30,33.28,134.15,68,3.36
2,Taolanaro,98,MG,10/29/2020,74,5.89,95.32,82.31,10.65
3,Mount Gambier,63,AU,10/29/2020,76,3.07,172.79,82.58,19.42
4,Mahebourg,100,MU,10/29/2020,85,63.29,18.72,33.8,2.24
5,Palabuhanratu,2,ID,10/29/2020,86,63.92,127.47,-6,2.86
6,Port Elizabeth,100,ZA,10/29/2020,76,65.09,12.37,48.2,13.87
7,Yulara,0,AU,10/29/2020,64,21.23,81.63,69.8,3.36
8,Busselton,98,AU,10/29/2020,91,51.65,84.32,31.62,2.75
9,Bambous Virieux,100,MU,10/29/2020,81,54.72,135.31,36.01,3.62
10,Maumere,90,ID,10/29/2020,93,59.7,30.79,45,4.47
11,Honiara,63,SB,10/29/2020,76,3.07,172.79,82.58,19.42
12,Taolanaro,75,MG,10/29/2020,78,69.49,88.4,14,29.08
13,Hokitika,75,NZ,10/29/2020,94,15.22,102.49,84,9.17
14,Hithadhoo,49,MV,10/29/2020,62,32.76,12.57,68.76,5.68
15,Busselton,29,AU,10/29/2020,70,46.68,113.28,36.99,19.1
16,Ulladulla,87,AU,10/29/2020,85,9.23,29.83,73.72,2.17
17,Hobart,20,AU,10/29/2020,53,43.32,145.57,51.8,9.17
18,Mahebourg,86,MU,10/29/2020,97,53.03,5.66,57,1.99
19,Hermanus,0,ZA,10/29/2020,85,49.71,72.59,19.4,2.24
20,Busselton,100,AU,10/29/2020,84,53.97,121.97,28.94,8.9
21,Bredasdorp,20,ZA,10/29/2020,72,78.22,15.64,17.6,1.12
22,Sambava,73,MG,10/29/2020,96,58.66,6.72,45,2.1
23,Dunedin,100,NZ,10/29/2020,52,40.28,97.2,44.17,19.22
24,Busselton,94,AU,10/29/2020,65,47.89,134.95,45.61,10.22
25,Te Anau,100,NZ,10/29/2020,97,66.83,70.83,34.29,15.37
26,Busselton,69,AU,10/29/2020,73,45.23,147.88,46.27,24
27,Bredasdorp,66,ZA,10/29/2020,67,-2.63,115.23,89.35,1.25
28,Hobart,100,AU,10/29/2020,96,59.58,151.28,32.49,12.37
29,Port Alfred,97,ZA,10/29/2020,97,2.18,22.47,70.97,1.36
30,New Norfolk,60,AU,10/29/2020,84,9.49,50.81,76.21,9.26
31,Port Elizabeth,100,ZA,10/29/2020,96,70.63,147.92,10.09,7.63
32,Port Lincoln,0,AU,10/29/2020,76,47.8,67.71,35.65,6.93
33,Hermanus,37,ZA,10/29/2020,94,71.04,27.85,30.83,9.44
34,Hobart,73,AU,10/29/2020,60,18.42,84.05,78.39,6.2
35,Vao,100,NC,10/29/2020,72,-2.57,150.8,83.53,5.97
36,Te Anau,100,NZ,10/29/2020,93,60.73,56.72,33.82,10.42
37,Taolanaro,100,MG,10/29/2020,72,13.05,123.3,84.7,9.19
38,Geraldton,34,AU,10/29/2020,52,30.29,120.16,70,5.01
39,Hobart,99,AU,10/29/2020,96,56.02,29.93,46.42,4.14
40,Bambous Virieux,75,MU,10/29/2020,57,28.37,129.48,77,24.16
41,Busselton,100,AU,10/29/2020,90,50.6,97.52,24.78,8.9
42,Hermanus,53,ZA,10/29/2020,93,70.86,29.09,31.44,10.18
43,Tairua,0,NZ,10/29/2020,38,17.02,54.09,73.4,3.36
44,Tuatapere,63,NZ,10/29/2020,76,3.07,172.79,82.58,19.42
45,Albany,0,AU,10/29/2020,41,36.21,57.68,39.2,9.17
46,Hambantota,0,LK,10/29/2020,85,71.97,102.5,-10.44,5.91
47,Busselton,0,AU,10/29/2020,93,39.57,2.65,54,4.7
48,Namibe,75,AO,10/29/2020,75,53.05,158.65,41,6.71
49,Saint-Leu,100,RE,10/29/2020,90,68.75,161.3,7.74,5.12
50,Hobart,100,AU,10/29/2020,97,69.7,170.31,19.99,7.4
51,Hobart,100,AU,10/29/2020,96,61.2,62.84,31.98,8.61
52,Port Alfred,0,ZA,10/29/2020,43,22.27,-101.97,56.73,10.92
53,Soavinandriana,20,MG,10/29/2020,48,34.98,139.87,64.99,19.46
54,Saint-Philippe,98,RE,10/29/2020,91,62.88,152.43,14.45,2.64
55,Port Elizabeth,16,ZA,10/29/2020,75,56,8.13,46.99,9.66
56,Kruisfontein,100,ZA,10/29/2020,97,69.7,170.31,19.99,7.4
57,Port Alfred,91,ZA,10/29/2020,95,5.4,26.49,68.47,2.73
58,Busselton,97,AU,10/29/2020,96,73.51,80.55,14.59,27.04
59,Northam,3,AU,10/29/2020,83,71.92,114.08,-2.2,6.17
60,Bredasdorp,20,ZA,10/29/2020,72,78.22,15.64,17.6,1.12
61,Albany,98,AU,10/29/2020,93,58.84,125.49,13.17,2.62
62,Umzimvubu,1,ZA,10/29/2020,100,57.64,18.3,46.4,3.36
63,Esperance,75,AU,10/29/2020,94,57.64,32.47,43.88,3.65
64,Hobart,100,AU,10/29/2020,63,31.86,117.28,64.4,6.71
65,Alice Springs,100,AU,10/29/2020,60,35.41,116.58,62.83,10.04
66,Mount Gambier,0,AU,10/29/2020,67,13.49,106.98,85.6,7.29
67,Brebes,38,ID,10/29/2020,70,53.57,142.95,39.67,7.72
68,Yulara,100,AU,10/29/2020,97,69.7,170.31,19.99,7.4
